TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Never Gonna Give You Up,Rick Astley,00:05:32,00:09:06,214
2,君は薔薇より美しい(Kimiwa Barayori Utsukushii),布施明,00:11:03,00:14:40,217
3,年下の男の子(Toshishita no Otoko no Ko),キャンディーズ,00:16:06,00:19:30,204
4,La vie en rose,Édith Piaf,00:21:25,00:24:34,189
5,いとしのエリー(Itoshi no Ellie),サザンオールスターズ,00:26:30,00:30:45,255
6,甜蜜蜜(Tian Mi Mi),鄧麗君,00:33:22,00:36:59,217
7,Hero,Mariah Carey,00:38:52,00:42:59,247
8,ズルい女(Zurui Onna),シャ乱Q,00:45:35,00:49:36,241
9,Me & Mr. Jones,Amy Winehouse,00:52:48,00:55:16,148
10,星間飛行(Seikan Hikou),ランカ·リー,00:57:15,01:01:03,228
11,I’m a Slave 4 U,Britney Spears,01:03:30,01:06:52,202
12,渚のシンドバッド(Nagisa No Sinbad),ピンク・レディー,01:08:24,01:10:53,149
13,나항상 그대를(I Always Miss You),이선희,01:13:40,01:17:09,209
14,ムーンライト伝説 (Moonlight densetsu - French Version),美少女戦士セーラームーン,01:20:24,01:24:02,218
15,Bad,Michael Jackson,01:26:56,01:30:52,236
16,乙女 パスタに感動(Otome Pasta ni Kandou),タンポポ,01:33:54,01:38:19,265
17,Ave Maria,Franz Schubert,01:42:39,01:47:04,265
18,Don't Stop Me Now,Queen,01:50:58,01:54:37,219
19,恋におちて -Fall in love-(Koi Ni Ochite -Fall In love-),小林明子,01:58:09,02:03:07,298
20,ビリビリ Be with U,Kaminari Clara,02:05:39,02:10:07,268
